date,quantity,suppliers_currency,transformer_unit_price,dry_or_oil,rated_power_kVA,primary_winding,secondary_winding,no_load_losses,full_load_losses_75,full_load_losses_120,rated_volt_primary_side,filename
,1,EUR,15600,Dry,630.0,Aluminium,Aluminium,990.0,,7100.0,20.0,QN-TMC4-Quotation (002).pdf
17/06/2021,2,EUR,14000,Dry,500.0,Aluminium,Aluminium,810.0,,5630.0,20.0,QN-TMC4-Quotation (002).pdf
18/03/2022,4,EUR,28400,Dry,2500.0,Aluminium,Aluminium,2790.0,,19000.0,20.0,QN-TMC5-Quotation_RFQ-237807-1_Eemshaven PW.pdf
18/03/2022,2,EUR,25300,Dry,1000.0,Aluminium,Aluminium,1395.0,,9000.0,20.0,QN-TMC5-Quotation_RFQ-237807-1_Eemshaven PW.pdf
18/03/2022,4,EUR,48400,Dry,2500.0,Aluminium,Aluminium,2790.0,,19000.0,20.0,QN-TMC5-Quotation_RFQ-237807-1_Eemshaven PW.pdf
18/03/2022,2,EUR,25300,Dry,1000.0,Aluminium,Aluminium,1395.0,,9000.0,20.0,QN-TMC5-Quotation_RFQ-237807-1_Eemshaven PW.pdf
04/02/2021,5,EUR,56400,,2500.0,,,,,,,QN-TMC6_kommerziell.pdf
04/02/2021,5,EUR,54700,Dry,15600.0,,,,,,,QN-TMC6_kommerziell.pdf
,5,,,Dry,5600.0,Aluminium,Aluminium,8000.0,,43000.0,21.0,QN-TMC6_rev1_technical.pdf
,5,,,Dry,5600.0,Aluminium,Aluminium,7000.0,,58000.0,21.0,QN-TMC6_rev1_technical.pdf
10/06/2021,1,EUR,51000,Dry,2800.0,Aluminium,Aluminium,4000.0,,21500.0,20.0,QN-TMC7-Quotation.pdf
09/09/2022,5,EUR,,Dry,1326.0,Aluminium,Aluminium,3500.0,,13000.0,6.8,QN-TMC8-rev.1_Quotation_RFQ-252580-1_5MW H2 PLANT Wyhlen GERMANY.pdf
09/09/2022,1,EUR,,Dry,1000.0,Aluminium,Aluminium,1395.0,,9000.0,6.8,QN-TMC8-rev.1_Quotation_RFQ-252580-1_5MW H2 PLANT Wyhlen GERMANY.pdf
06/12/2022,21,EUR,252600,Dry,15000.0,Aluminium,Aluminium,16000.0,,160000.0,30.0,QN-TMC9-Quotation_RFQ-277276-0_OPP-22-5757363 Arcadia.pdf
01/12/2020,3,EUR,74500,Dry,3250.0,Aluminium,Aluminium,10000.0,80000.0,,20.0,OVTrasfor2-1.pdf
2020-05-07,26,EUR,104000,Dry,6000.0,Aluminium,Aluminium,85000.0,97000.0,,33.0,OVTrasfor3-2.pdf
,10,EUR,128000,Dry,10000.0,Aluminium,Aluminium,17000.0,97000.0,,11.0,OVTrasfor3-2.pdf
28/11/2020,1,EUR,70000,Dry,5000.0,Aluminium,Aluminium,8000.0,43000.0,,11.0,OVTrasfor9-2.pdf
01/06/2021,10,EUR,240000,Dry,25000.0,Aluminium,Aluminium,45000.0,48000.0,,22.0,QTTrasfor1.pdf
14/12/2021,2,EUR,148000,Dry,15000.0,Aluminium,Aluminium,21000.0,120000.0,,22.0,QTTrasfor10-4.pdf
2021-12-14,0,EUR,149000,Dry,7500.0,Aluminium,Aluminium,21000.0,120000.0,,22.0,QTTrasfor10-4.pdf
27/09/2021,2,EUR,172000,Dry,15000.0,Aluminium,Aluminium,28000.0,120000.0,,34.5,QTTrasfor4-1.pdf
04/05/2021,5,EUR,120000,Dry,15000.0,Aluminium,Aluminium,18000.0,118000.0,,6.3,QTTrasfor5-2.pdf
10 Sep 2021,1,EUR,42000,Dry,3000.0,Aluminium,Aluminium,5000.0,27000.0,,20.0,QTTrasfor6 Budget.pdf
10 Sep 2021,2,EUR,34900,Dry,1600.0,Aluminium,Aluminium,1850.0,3700.0,,20.0,QTTrasfor6 Budget.pdf
10 Sep 2021,1,EUR,950,Dry,3000.0,Aluminium,Aluminium,5000.0,27000.0,,20.0,QTTrasfor6 Budget.pdf
31 Aug 2021,1,EUR,57800,Dry,2039.0,Aluminium,Aluminium,20000.0,,94000.0,6.0,QTTrasfor7.pdf
