,date,quantity,suppliers_currency,transformer_unit_price,dry_or_oil,rated_power_kVA,primary_winding,secondary_winding,no_load_loss,full_load_loss_75,full_load_loss_120,rated_volt_primary_side
130,2022-03-09,10.0,EUR,7300.0,Dry,15000.0,Aluminum,Aluminum,13000.0,126000.0,145000.0,20000.0
132,2022-04-06,10.0,EUR,852000.0,Dry,15000.0,Aluminum,Aluminum,13000.0,126000.0,145000.0,10500.0
134,2021-12-15,2.0,EUR,176800.0,Dry,15450.0,Aluminum,Aluminum,13000.0,126000.0,145000.0,22000.0
135,2022-05-18,1.0,EUR,25400.0,Dry,1250.0,Aluminum,Aluminum,2700.0,15536.310711720827,11800.0,20000.0
141,2021-06-17,4.0,EUR,26000.0,Dry,1600.0,Aluminum,Aluminum,1980.0,18178.83711264709,13000.0,20000.0
142,2021-06-17,1.0,EUR,15600.0,Dry,630.0,Aluminum,Aluminum,990.0,10855.26394436574,7100.0,20000.0
143,2021-06-17,2.0,EUR,14000.0,Dry,500.0,Aluminum,Aluminum,810.0,9873.754138307417,5630.0,20000.0
146,2021-02-04,5.0,EUR,56400.0,Dry,2500.0,Aluminum,Copper,3100.0,7800.0,25628.024126383247,400.0
147,2021-02-04,5.0,EUR,54700.0,Dry,1600.0,Aluminum,Aluminum,3476.0026678798463,18178.83711264709,16830.48559388653,20000.0
150,2021-06-10,1.0,EUR,51000.0,Dry,2800.0,Aluminum,Aluminum,4000.0,27238.927630108545,21500.0,20000.0
153,2022-12-06,21.0,EUR,252600.0,Dry,15000.0,Aluminum,Aluminum,16000.0,119349.84789096672,160000.0,30000.0
154,2020-12-01,1.0,EUR,74500.0,Dry,6500.0,Aluminum,Aluminum,10000.0,55174.20672561471,80000.0,6600.0
155,2020-12-01,3.0,EUR,74500.0,Dry,3250.0,Aluminum,Aluminum,10000.0,100000.0,80000.0,6600.0
156,2020-12-01,3.0,EUR,74500.0,Dry,6500.0,Aluminum,Aluminum,10000.0,100000.0,80000.0,6600.0
158,2020-07-05,26.0,EUR,128000.0,Dry,10000.0,Aluminum,Aluminum,17000.0,97000.0,98940.84523052254,11000.0
160,2020-11-28,1.0,EUR,70000.0,Dry,5000.0,Aluminum,Aluminum,8000.0,43000.0,50065.631161096346,11000.0
161,2020-11-28,1.0,EUR,70000.0,Dry,2000.0,Aluminum,Aluminum,8000.0,43000.0,20740.502719440625,11500.0
162,2020-11-28,1.0,EUR,70000.0,Dry,5000.0,Aluminum,Aluminum,8000.0,43000.0,50065.631161096346,11500.0
164,2021-12-14,2.0,EUR,148000.0,Dry,15000.0,Aluminum,Aluminum,21000.0,75000.0,120000.0,22000.0
165,2021-12-14,2.0,EUR,149000.0,Dry,15000.0,Aluminum,Aluminum,7500.0,21000.0,120000.0,22000.0
166,2021-12-14,3.0,EUR,149000.0,Dry,7500.0,Aluminum,Aluminum,8716.654798160449,10000.0,74503.23819580945,22000.0
